conditionID	model	lmax	nmixt	ncat
cond01	mmm	2	-1	1
cond02	mmm	2	-1	2
cond03	mmm	2	-1	3
cond04	mmm	2	-1	4
cond05	mmm	2	-1	5
cond06	mmm	2	-1	6
cond07	mirage	2	3	-1
cond08	mirage	2	5	-1
cond09	mirage	2	7	-1
cond10	mirage	2	9	-1
cond11	mirage	2	11	-1
cond12	branch	2	-1	-1
cond13	mmm	3	-1	1
cond14	mmm	3	-1	2
cond15	mmm	3	-1	3
cond16	mmm	3	-1	4
cond17	mmm	3	-1	5
cond18	mmm	3	-1	6
cond19	mirage	3	3	-1
cond20	mirage	3	5	-1
cond21	mirage	3	7	-1
cond22	mirage	3	9	-1
cond23	branch	3	-1	-1
